x y z u v
8.872263 4.102271 0.000000 0.979393 -0.201963
6.378208 4.618742 0.000000 0.991673 -0.128785
6.498103 4.864276 0.000000 0.972991 -0.230843
3.992741 2.064278 0.000000 0.374978 0.927034
3.827894 1.496616 0.000000 0.999194 0.040142
3.150146 0.311871 0.000000 0.999923 -0.012405
2.891881 0.344073 0.000000 0.999985 -0.005386
7.653582 1.955611 0.000000 0.845857 0.533410
8.080442 1.816753 0.000000 0.926263 0.376879
4.255216 3.904066 0.000000 0.436197 -0.899851
4.372936 3.458704 0.000000 0.691756 -0.722131
4.461592 4.414162 0.000000 0.999757 0.022024
4.596482 4.824076 0.000000 0.999328 -0.036657
3.898487 5.077798 0.000000 0.999603 -0.028180
3.776316 4.926163 0.000000 0.999942 -0.010769
5.764512 0.773150 0.000000 0.980791 0.195059
5.220222 1.307585 0.000000 0.997945 0.064077
3.153912 0.876701 0.000000 0.999971 -0.007589
3.267819 1.260854 0.000000 0.997419 -0.071802
7.698486 4.906877 0.000000 0.988602 -0.150550
7.528938 4.488075 0.000000 0.976726 -0.214489
7.631892 5.130248 0.000000 0.999973 -0.007403
7.976597 5.235283 0.000000 0.988246 0.152869
8.410560 0.485630 0.000000 0.995317 -0.096669
4.254677 5.524384 0.000000 0.998206 -0.059875
3.907488 5.692722 0.000000 0.999943 -0.010698
2.276287 0.679284 0.000000 0.999941 -0.010834
2.659790 0.885705 0.000000 0.998564 -0.053569
4.734673 0.514455 0.000000 0.994346 0.106190
4.503476 0.521964 0.000000 0.995394 0.095867
4.811092 0.312121 0.000000 0.995815 0.091394
4.590837 0.114534 0.000000 0.998844 0.048066
1.965043 4.771494 0.000000 0.997297 -0.073471
2.492581 5.190950 0.000000 0.999550 0.030006
2.879424 5.405360 0.000000 0.999961 0.008823
2.349421 5.566481 0.000000 0.999996 -0.002658
2.556123 5.661890 0.000000 0.999997 0.002581
2.556253 5.879135 0.000000 1.000000 0.000290
4.943646 0.901344 0.000000 0.993434 0.114403
4.978221 0.698238 0.000000 0.991844 0.127458
6.546542 0.057856 0.000000 0.999203 -0.039908
6.310984 0.645221 0.000000 0.936676 0.350197
4.897711 2.329041 0.000000 0.077916 -0.996960
4.759208 2.617648 0.000000 0.408334 -0.912833
4.325516 2.576412 0.000000 0.555799 0.831317
7.417300 1.063470 0.000000 0.999536 0.030444
7.661011 1.451454 0.000000 0.984516 0.175296
4.347527 0.768764 0.000000 0.998062 0.062228
4.589583 0.751888 0.000000 0.996350 0.085359
7.043833 4.676338 0.000000 0.919066 -0.394105
3.985385 0.650004 0.000000 0.999719 0.023699
3.818032 0.527908 0.000000 0.999965 0.008348
6.484231 0.794448 0.000000 0.981321 0.192375
6.451343 0.629402 0.000000 0.996386 0.084941
3.583497 1.672528 0.000000 0.999997 -0.002382
3.701487 1.652914 0.000000 0.997619 0.068967
5.204166 4.027666 0.000000 0.461730 0.887020
5.464884 4.230691 0.000000 0.633492 0.773749
7.546875 0.145437 0.000000 0.998602 -0.052863
7.472146 0.352190 0.000000 0.992980 -0.118284
0.167611 3.429712 0.000000 0.915633 -0.402014
0.565720 2.490582 0.000000 0.338020 -0.941139
5.328431 5.171980 0.000000 0.986426 -0.164208
5.631149 4.919880 0.000000 0.989176 -0.146734
8.220082 3.550803 0.000000 0.853351 -0.521337
8.175171 3.422205 0.000000 0.920788 -0.390064
1.814134 5.190150 0.000000 0.999379 -0.035240
1.358660 4.603754 0.000000 0.996816 0.079738
3.375000 0.105924 0.000000 0.999984 -0.005638
3.747399 0.443448 0.000000 0.999539 0.030362
