x y z u v
6.378208 4.618742 0.000000 0.991225 -0.132186
6.498103 4.864276 0.000000 0.980551 -0.196266
3.992741 2.064278 0.000000 0.999668 0.025783
3.827894 1.496616 0.000000 0.999168 0.040783
3.150146 0.311871 0.000000 0.999668 0.025761
2.891881 0.344073 0.000000 0.999543 0.030243
7.653582 1.955611 0.000000 0.824591 0.565730
8.080442 1.816753 0.000000 0.928709 0.370810
4.255216 3.904066 0.000000 0.999996 -0.002922
4.372936 3.458704 0.000000 0.999984 -0.005682
4.461592 4.414162 0.000000 0.999992 -0.004079
4.596482 4.824076 0.000000 0.998023 -0.062853
3.898487 5.077798 0.000000 0.998522 -0.054356
3.776316 4.926163 0.000000 0.999011 -0.044457
5.764512 0.773150 0.000000 0.973373 0.229228
5.220222 1.307585 0.000000 0.995801 0.091541
3.153912 0.876701 0.000000 0.999096 0.042520
3.267819 1.260854 0.000000 0.999930 -0.011800
7.698486 4.906877 0.000000 0.999710 0.024071
7.528938 4.488075 0.000000 0.981729 -0.190285
7.631892 5.130248 0.000000 0.977939 0.208892
7.976597 5.235283 0.000000 0.982963 0.183804
8.410560 0.485630 0.000000 0.989960 -0.141345
4.254677 5.524384 0.000000 0.993071 -0.117518
3.907488 5.692722 0.000000 0.997803 -0.066246
2.276287 0.679284 0.000000 0.998436 0.055901
2.659790 0.885705 0.000000 0.999431 0.033726
4.734673 0.514455 0.000000 0.989103 0.147224
4.503476 0.521964 0.000000 0.991820 0.127644
4.811092 0.312121 0.000000 0.986823 0.161805
4.590837 0.114534 0.000000 0.998021 0.062879
1.965043 4.771494 0.000000 0.996007 -0.089278
2.492581 5.190950 0.000000 0.998790 -0.049181
2.879424 5.405360 0.000000 0.999186 -0.040349
2.349421 5.566481 0.000000 0.999353 -0.035962
2.556123 5.661890 0.000000 0.999627 -0.027321
2.556253 5.879135 0.000000 0.999972 -0.007428
4.943646 0.901344 0.000000 0.990324 0.138772
4.978221 0.698238 0.000000 0.987367 0.158448
6.546542 0.057856 0.000000 0.999998 -0.002158
6.310984 0.645221 0.000000 0.971946 0.235205
4.897711 2.329041 0.000000 0.999996 -0.003000
4.759208 2.617648 0.000000 0.999895 -0.014516
4.325516 2.576412 0.000000 0.999994 0.003453
7.417300 1.063470 0.000000 0.991890 -0.127096
7.661011 1.451454 0.000000 0.999360 0.035773
4.347527 0.768764 0.000000 0.995179 0.098072
4.589583 0.751888 0.000000 0.993572 0.113206
7.043833 4.676338 0.000000 0.939824 -0.341658
3.985385 0.650004 0.000000 0.997542 0.070077
3.818032 0.527908 0.000000 0.998160 0.060627
6.484231 0.794448 0.000000 0.992349 0.123463
6.451343 0.629402 0.000000 0.994421 0.105481
3.583497 1.672528 0.000000 0.999734 0.023047
3.701487 1.652914 0.000000 0.998176 0.060370
5.204166 4.027666 0.000000 0.996175 0.087377
5.464884 4.230691 0.000000 1.000000 -0.000990
7.546875 0.145437 0.000000 0.998086 -0.061840
7.472146 0.352190 0.000000 0.994526 -0.104490
0.167611 3.429712 0.000000 1.000000 0.000117
0.565720 2.490582 0.000000 1.000000 -0.000882
5.328431 5.171980 0.000000 0.979722 -0.200361
5.631149 4.919880 0.000000 0.987655 -0.156646
8.220082 3.550803 0.000000 0.945443 -0.325787
8.175171 3.422205 0.000000 0.966854 -0.255331
1.814134 5.190150 0.000000 0.996809 -0.079819
1.358660 4.603754 0.000000 0.999894 0.014568
3.375000 0.105924 0.000000 0.999981 0.006111
3.747399 0.443448 0.000000 0.998198 0.060005
5.123530 5.503328 0.000000 0.979872 -0.199627
4.969385 5.338607 0.000000 0.984114 -0.177536
4.983056 1.729196 0.000000 0.999568 0.029392
5.039786 1.840581 0.000000 0.999905 0.013820
0.271338 2.244878 0.000000 1.000000 -0.000135
1.029722 5.089720 0.000000 0.997084 -0.076311
1.314642 4.806071 0.000000 0.999010 -0.044496
4.041825 0.962290 0.000000 0.998465 0.055395
3.977827 1.041641 0.000000 0.998751 0.049970
1.403022 0.688891 0.000000 0.996758 0.080453
1.219859 0.888426 0.000000 0.996658 0.081683
6.937238 0.706414 0.000000 0.999975 -0.007041
7.106365 0.728968 0.000000 0.996614 -0.082225
6.674544 1.129592 0.000000 0.901737 0.432286
6.598817 0.906550 0.000000 0.952597 0.304235
3.658491 4.905468 0.000000 0.999931 -0.011760
3.839820 5.260138 0.000000 0.998020 -0.062890
7.256962 5.162466 0.000000 0.996331 0.085582
7.613209 5.033632 0.000000 0.988262 0.152766
4.267626 4.029118 0.000000 0.999984 -0.005640
4.182202 4.137159 0.000000 0.999975 0.007125
1.565274 0.355487 0.000000 0.999452 0.033105
1.101320 0.390530 0.000000 0.998189 0.060152
3.167111 4.492912 0.000000 0.997593 -0.069339
3.391900 4.517515 0.000000 0.998953 -0.045745
5.584544 5.743024 0.000000 0.994120 -0.108281
5.614069 5.873498 0.000000 0.991942 -0.126689
7.041838 1.243536 0.000000 0.870812 0.491616
3.992938 1.748333 0.000000 0.999981 -0.006170
4.345861 1.961692 0.000000 0.999991 -0.004208
8.518249 3.304356 0.000000 0.994265 0.106940
8.602806 3.082958 0.000000 0.999344 0.036220
0.924077 5.618606 0.000000 0.998717 -0.050647
1.129005 5.622436 0.000000 0.999100 -0.042425
1.603219 1.442950 0.000000 0.996985 -0.077598
1.889009 1.576403 0.000000 0.993755 -0.111583
5.820208 0.270265 0.000000 0.995044 0.099439
5.756333 0.053646 0.000000 0.999423 0.033963
8.606987 3.159065 0.000000 0.992713 0.120503
8.699629 3.424471 0.000000 0.737545 -0.675297
8.184909 1.765753 0.000000 0.911541 0.411209
8.023176 1.444985 0.000000 0.999105 0.042294
0.424011 5.943779 0.000000 0.999096 -0.042502
0.313463 5.858722 0.000000 0.998890 -0.047107
4.218750 0.111026 0.000000 0.999092 0.042598
4.078125 0.052467 0.000000 0.999076 0.042979
4.812699 5.159277 0.000000 0.992782 -0.119934
4.929211 5.135960 0.000000 0.990674 -0.136252
4.868894 5.913072 0.000000 0.995476 -0.095013
4.795730 5.616717 0.000000 0.988661 -0.150167
4.796885 5.848259 0.000000 0.990384 -0.138347
7.769660 5.484677 0.000000 0.986255 0.165230
8.121712 5.364429 0.000000 0.966472 0.256772
0.320964 4.698690 0.000000 0.999926 -0.012188
0.414300 4.911500 0.000000 0.999467 -0.032637
0.083403 0.823914 0.000000 0.997981 0.063517
0.559136 1.149986 0.000000 0.999417 0.034129
4.247888 3.633402 0.000000 0.999998 -0.002091
4.134813 3.864652 0.000000 0.999816 -0.019198
6.433027 5.764130 0.000000 0.999860 -0.016756
6.277014 5.564249 0.000000 0.992331 -0.123610
6.792290 5.851311 0.000000 0.999844 0.017666
6.890625 5.949185 0.000000 0.999997 -0.002629
7.174838 5.734692 0.000000 0.997231 0.074364
6.779388 5.557654 0.000000 0.999540 0.030339
5.326635 4.691970 0.000000 0.997080 -0.076360
5.226272 4.673158 0.000000 0.997394 -0.072151
0.847886 2.458477 0.000000 1.000000 -0.000749
0.961192 2.488753 0.000000 1.000000 -0.000188
0.889919 3.690658 0.000000 0.999999 -0.001139
0.634892 3.382769 0.000000 1.000000 0.000625
0.594744 3.901496 0.000000 1.000000 0.000235
0.322365 5.136392 0.000000 0.998705 -0.050868
0.311808 5.275858 0.000000 0.998105 -0.061529
4.479600 3.254962 0.000000 0.999982 -0.006048
3.990898 3.395167 0.000000 0.999960 -0.008921
8.849537 3.424471 0.000000 0.540499 -0.841345
7.327783 0.973869 0.000000 0.999843 -0.017719
7.016359 0.898119 0.000000 1.000000 -0.000763
7.726633 0.960823 0.000000 0.986051 -0.166442
7.918352 1.147343 0.000000 0.988900 -0.148586
8.373001 1.248913 0.000000 0.999441 -0.033421
8.156019 0.986081 0.000000 0.985702 -0.168501
4.194895 1.263876 0.000000 0.999427 0.033856
4.092994 0.667440 0.000000 0.996130 0.087893
5.862021 0.937092 0.000000 0.978696 0.205315
5.593409 1.043632 0.000000 0.986354 0.164641
6.160187 1.378051 0.000000 0.996163 -0.087517
6.045847 1.418782 0.000000 0.999993 0.003780
8.353198 0.585518 0.000000 0.989401 -0.145212
8.718528 0.657967 0.000000 0.994326 -0.106378
8.099183 0.754129 0.000000 0.981056 -0.193723
8.274969 0.799189 0.000000 0.984790 -0.173750
1.325386 5.655489 0.000000 0.998929 -0.046265
1.288318 5.933193 0.000000 0.999927 -0.012076
7.420369 0.606372 0.000000 0.984768 -0.173875
7.473373 0.246473 0.000000 0.995928 -0.090157
0.826767 0.135874 0.000000 0.999620 0.027577
0.765945 0.222866 0.000000 0.999711 0.024025
0.438775 0.061074 0.000000 0.999336 0.036437
8.402875 5.173746 0.000000 0.995617 0.093520
8.046671 4.717598 0.000000 0.997892 0.064898
8.064133 4.178946 0.000000 0.910270 -0.414016
8.356141 4.372176 0.000000 0.965129 -0.261775
8.418496 4.738729 0.000000 0.999685 0.025103
8.712036 4.818707 0.000000 0.999978 -0.006659
1.999004 0.369101 0.000000 0.999392 0.034856
1.423171 0.549709 0.000000 0.998271 0.058779
8.304846 5.194866 0.000000 0.992516 0.122115
